pt1_dltres,pt2_dltres,pt3_dltres,pt4_dltres
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
4.646047,2.889921,0.819608,NaN
6.443947,2.264598,3.538434,NaN
6.771755,3.244860,0.634543,NaN
7.617882,0.035219,0.488150,NaN
6.427968,2.452321,0.433954,NaN
9.488626,2.791593,0.878421,NaN
9.591128,4.169943,0.247201,NaN
8.922392,0.680701,4.988247,NaN
6.134559,NaN,4.220675,NaN
3.118289,NaN,1.821093,NaN
5.769361,4.197517,3.257372,NaN
6.358804,2.741191,2.461288,NaN
5.236533,1.318572,0.859795,NaN
4.381379,3.473718,0.592261,NaN
6.298188,3.866416,3.352578,NaN
6.791946,3.749445,3.122717,NaN
7.742911,3.353436,2.155957,NaN
7.809550,2.616345,2.305987,NaN
7.276920,1.950936,2.065859,NaN
6.139329,4.072179,1.953833,NaN
5.817298,4.432958,3.543385,NaN
9.575847,1.808011,2.435845,NaN
7.806871,NaN,4.413556,NaN
4.446149,NaN,2.111953,NaN
4.017420,5.017710,2.028850,NaN
6.309505,0.497634,1.006960,NaN
3.950093,0.957339,4.823579,NaN
4.523199,2.080550,3.787328,NaN
6.550455,0.953818,3.112589,NaN
8.517292,1.340890,2.825955,NaN
8.037586,3.482577,2.379444,NaN
8.520635,3.048536,2.350658,NaN
7.657911,3.464529,1.378001,NaN
6.956045,4.492341,1.237436,NaN
9.885697,5.964885,2.445042,NaN
9.745730,1.979177,3.774352,NaN
2.420625,NaN,2.972032,NaN
6.815700,3.364412,2.012542,NaN
4.101755,6.499647,1.995777,NaN
6.081453,1.810580,1.470708,NaN
4.413430,3.171085,1.320593,NaN
4.815092,1.425824,1.212015,NaN
6.415405,2.249558,1.423329,NaN
7.732727,0.154948,2.831886,NaN
9.888624,4.640143,3.478656,NaN
9.069503,3.829733,3.727191,NaN
6.223621,4.387938,3.680703,NaN
7.603692,3.737438,2.705774,NaN
10.095821,5.368020,4.019873,NaN
8.111866,NaN,2.199894,NaN
6.828903,1.038858,1.844316,NaN
6.103639,7.624531,4.278556,NaN
6.507370,4.116743,1.140090,NaN
6.264165,4.414173,1.594322,NaN
4.607530,4.258978,2.765702,NaN
3.405661,0.521531,4.857350,NaN
5.920846,0.326771,3.815531,NaN
7.284766,NaN,2.664579,NaN
8.336685,3.409317,3.205541,NaN
4.363764,4.135479,3.498117,NaN
6.871093,4.021703,3.087105,NaN
8.112509,5.672685,2.717005,NaN
9.989532,1.422828,1.436402,NaN
6.635839,0.989690,3.299487,NaN
7.158526,NaN,4.063433,NaN
6.485112,6.791309,3.411399,NaN
5.571713,3.680573,1.815009,NaN
5.653273,2.804047,2.929416,NaN
3.271772,2.468316,2.100133,NaN
5.120761,1.137739,2.850704,NaN
7.382410,3.815881,3.063711,NaN
9.389098,6.853490,2.342615,NaN
6.795110,8.211413,2.607787,NaN
7.686700,3.711219,3.743975,NaN
7.427500,5.042180,3.204105,NaN
8.482348,5.417246,2.762856,NaN
11.600865,2.374099,2.460566,NaN
9.982814,NaN,3.045045,NaN
7.363110,0.454004,2.964278,NaN
5.339895,6.500156,2.885529,NaN
4.926968,2.758927,1.609678,NaN
4.215328,2.896065,2.552066,NaN
3.373501,0.109830,2.783223,NaN
5.833327,0.625828,4.794041,NaN
6.409183,1.133428,3.463451,NaN
7.018366,3.865027,1.233134,NaN
5.654381,4.314893,3.996769,NaN
6.040502,5.168162,4.342209,NaN
7.166447,5.122005,4.858929,NaN
8.859025,6.371289,4.874319,NaN
11.675873,7.490872,1.057333,NaN
9.045812,0.841050,5.428925,NaN
3.194129,NaN,2.764499,NaN
1.697716,2.131989,4.284759,NaN
5.121062,0.889732,2.262279,NaN
3.481284,2.586399,1.981625,NaN
4.817191,1.062303,1.807771,NaN
7.149235,2.799719,3.511896,NaN
8.871611,0.651119,4.200098,NaN
9.816774,3.691462,7.192097,NaN
4.458301,4.707624,4.194344,NaN
5.845552,3.374714,6.189008,NaN
7.675342,4.894192,3.532294,NaN
9.612369,5.733244,3.425989,NaN
12.306050,2.541601,5.043382,NaN
9.447743,1.222167,3.659040,NaN
5.385825,NaN,3.573922,NaN
7.101757,0.776058,2.052365,NaN
4.037213,5.003355,3.008133,NaN
4.191874,1.976899,1.710917,NaN
2.529199,0.023214,2.609295,NaN
4.510720,4.745522,3.755968,NaN
7.555873,1.961482,3.893404,NaN
6.266984,4.213990,7.390005,NaN
5.014936,3.780745,4.983511,NaN
6.582358,7.678653,5.192591,NaN
8.270122,5.747566,5.277971,NaN
10.786184,11.291715,4.528753,NaN
11.944163,0.688591,3.820809,NaN
8.778096,2.292715,4.691841,NaN
7.657486,NaN,2.548560,NaN
6.085910,3.819851,2.297891,NaN
5.587440,4.102922,2.673822,NaN
2.488998,1.390098,4.172240,NaN
4.292302,0.178288,2.864979,NaN
NaN,0.511513,3.886272,NaN
5.646991,0.597064,3.240214,NaN
5.244858,2.888471,3.729829,NaN
4.610215,4.568439,2.711250,NaN
6.207089,4.103130,2.474616,NaN
7.797989,4.809533,2.657881,NaN
9.628747,6.378978,2.804975,NaN
10.317745,1.952890,0.736319,NaN
9.445677,2.265366,5.949030,NaN
6.073508,NaN,2.363345,NaN
7.064860,5.558091,0.225408,NaN
4.178207,2.543573,1.955568,NaN
3.492353,1.264626,2.405259,NaN
3.597997,0.857778,2.516443,NaN
2.679250,3.193723,2.992206,NaN
4.595375,3.057676,5.198254,NaN
5.083015,3.277608,3.426963,NaN
4.188526,4.173725,4.441757,NaN
5.402185,4.455954,2.066927,NaN
7.023537,5.479228,6.929539,NaN
8.547396,6.113558,3.503344,NaN
10.836748,7.525058,3.584516,NaN
10.997677,0.450741,5.003982,NaN
4.878165,3.783415,3.703059,NaN
8.027845,0.972401,2.892876,NaN
4.928547,2.642659,2.910484,NaN
5.676626,3.446146,2.241887,NaN
1.384801,0.377905,2.176038,NaN
1.828483,2.042706,1.708482,NaN
6.149529,1.122907,2.022299,NaN
4.891316,2.183488,2.143832,NaN
4.406981,3.478969,3.341178,NaN
6.165269,4.175470,2.026018,NaN
7.375355,5.144417,4.147097,NaN
8.950573,5.763787,4.849584,NaN
10.609550,8.231376,1.542213,NaN
10.356911,6.683808,4.253115,NaN
4.249913,NaN,0.828285,NaN
0.630723,1.600159,0.227273,NaN
0.192283,3.612269,3.958858,NaN
2.680952,0.210432,2.262364,NaN
2.241678,0.896763,2.497608,NaN
2.582787,1.880625,3.911598,NaN
4.922527,2.627228,4.289596,NaN
4.896645,3.191385,4.652629,NaN
3.901242,6.128649,5.580040,NaN
5.530802,4.432579,3.051212,NaN
7.130339,5.361849,4.014946,NaN
8.762587,6.076107,4.708979,NaN
10.358858,6.526181,3.048363,NaN
11.484698,2.766092,1.619196,NaN
5.247571,NaN,6.408397,NaN
8.232436,6.496119,2.691652,NaN
5.054935,3.979532,1.638658,NaN
5.402061,2.431578,1.435706,NaN
3.731654,3.081806,2.041824,NaN
1.724825,2.629415,1.295581,NaN
2.360164,3.011045,5.635102,NaN
4.894107,1.481937,5.193584,NaN
3.839134,2.542468,6.139629,NaN
3.627809,3.127198,6.386383,NaN
5.996854,3.314014,4.233437,NaN
7.854463,5.154581,4.358776,NaN
9.533938,5.967147,4.807821,NaN
11.214255,2.489599,6.356656,NaN
8.805998,NaN,5.138547,NaN
NaN,NaN,3.226059,NaN
2.661395,NaN,1.297443,NaN
3.477156,NaN,2.468537,NaN
0.691233,NaN,2.391777,NaN
0.957691,NaN,1.480893,NaN
1.017306,NaN,1.398071,NaN
NaN,NaN,3.918671,NaN
NaN,NaN,5.729137,NaN
NaN,NaN,3.603368,NaN
NaN,NaN,3.544402,NaN
