pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.117656,0.163222,0.044058,0.123562,0.187805,0.042435,0.128685,0.161159,0.040424,0.122079,0.167694,0.069104
0.122321,0.166438,0.029693,0.129755,0.186192,0.035906,0.130432,0.161539,0.039778,0.120936,0.178891,0.046096
0.125412,0.164748,0.024512,0.141672,0.183975,0.025273,0.128869,0.159038,0.039289,0.118942,0.184895,0.027789
0.130431,0.164848,0.020802,NaN,NaN,NaN,0.128052,0.156968,0.040338,0.121521,0.179485,0.011879
0.122421,0.164893,0.019117,0.137120,0.188302,0.036317,0.124044,0.157286,0.044339,0.115785,0.181691,0.005077
0.112714,0.167496,0.019602,0.136181,0.188966,0.038239,0.127770,0.160013,0.048553,0.106460,0.184801,-0.001970
0.104695,0.172218,0.025014,0.132792,0.187746,0.039620,0.122016,0.158567,0.051988,0.084743,0.187066,0.002903
0.099709,0.175786,0.032132,0.129681,0.192131,0.044995,0.124885,0.161263,0.055163,0.064096,0.189051,0.022118
0.090990,0.178256,0.043773,0.122645,0.189893,0.048960,0.124884,0.162152,0.057530,0.053482,0.186349,0.049458
0.087034,0.177953,0.060746,0.115467,0.190375,0.055616,0.120263,0.162299,0.058537,0.054143,0.176288,0.076831
0.088951,0.172642,0.077377,0.112805,0.189790,0.062572,0.120977,0.164115,0.058797,0.067812,0.164472,0.099069
NaN,NaN,NaN,0.112713,0.187343,0.068484,0.120170,0.164824,0.061004,0.087998,0.155438,0.114484
0.100338,0.164633,0.087811,0.113831,0.187539,0.068875,0.119283,0.165615,0.061807,0.102077,0.154727,0.110253
0.107405,0.164437,0.083819,0.112771,0.189649,0.070596,0.118626,0.165270,0.062973,0.116480,0.156658,0.098823
0.108416,0.165794,0.075065,0.113504,0.190859,0.064783,0.118436,0.164970,0.064955,0.118068,0.160641,0.093526
0.108904,0.168371,0.061383,0.115245,0.193549,0.065334,0.117986,0.163544,0.062723,0.113285,0.174083,0.088263
0.114620,0.170758,0.049908,0.114785,0.186807,0.037179,0.119038,0.163116,0.063368,0.104531,0.180580,0.056863
0.116424,0.170156,0.045663,0.119114,0.162729,0.064462,0.119285,0.162367,0.064689,0.100890,0.186652,0.037425
0.113253,0.170736,0.043063,0.119950,0.193558,0.059671,0.115657,0.161845,0.067111,0.096249,0.196468,0.022970
0.102329,0.174950,0.041295,0.118169,0.195058,0.063154,0.113708,0.162647,0.070741,0.083968,0.194442,0.016896
0.091849,0.180347,0.047729,0.112816,0.194409,0.064013,0.111556,0.163008,0.073848,0.064309,0.193542,0.026210
0.081565,0.183274,0.057089,0.109131,0.194155,0.066726,0.109064,0.164207,0.077168,0.041679,0.195758,0.046902
0.072844,0.182088,0.067883,0.102794,0.194572,0.072478,0.107753,0.166179,0.078867,0.036703,0.183269,0.073208
0.067816,0.177472,0.082893,0.097255,0.194633,0.079486,0.105762,0.167289,0.081799,0.035634,0.168949,0.096589
0.071039,0.169696,0.096146,0.094320,0.194046,0.085552,0.104337,0.168139,0.081204,0.044399,0.156258,0.113555
0.076332,0.165554,0.104374,0.093057,0.191049,0.089175,0.103055,0.167943,0.081315,0.067232,0.150505,0.131348
0.082788,0.164002,0.105332,0.092865,0.190738,0.090969,0.101991,0.168841,0.082632,0.084781,0.149512,0.129888
0.087785,0.166665,0.100106,0.093504,0.193649,0.089660,0.100735,0.168166,0.082743,0.099512,0.161440,0.123644
0.088710,0.169260,0.090548,0.091959,0.194631,0.086330,0.099556,0.168163,0.082497,0.098216,0.164031,0.110681
0.090778,0.174061,0.077834,0.095121,0.197290,0.082118,0.099188,0.167691,0.081474,0.097847,0.169366,0.097152
0.095498,0.177434,0.069032,0.096794,0.198477,0.085175,0.098848,0.168542,0.080588,0.086180,0.188276,0.078307
0.100148,0.175807,0.066135,NaN,NaN,NaN,0.097509,0.167552,0.081193,0.085558,0.191354,0.061088
0.095858,0.175138,0.060049,0.104020,0.197916,0.080533,0.094872,0.167131,0.083156,0.082251,0.196959,0.048045
0.088158,0.179997,0.056951,0.099512,0.203267,0.079617,0.093019,0.168026,0.085157,0.071751,0.202299,0.039847
0.074017,0.182833,0.060545,0.094487,0.206488,0.085037,0.092102,0.168920,0.087439,0.047666,0.202369,0.040400
0.062494,0.189442,0.068461,0.087077,0.202808,0.083660,0.087961,0.171031,0.088623,0.029857,0.201837,0.057327
0.048142,0.189134,0.079384,0.083067,0.200424,0.083115,0.084646,0.172619,0.090727,0.013165,0.193133,0.075579
0.046320,0.186126,0.089945,0.072948,0.200478,0.089631,0.080545,0.172832,0.093416,0.009425,0.177994,0.096192
